#{"t_start": 1529857601.3847675, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
17.0,669,1015.093008
19.0,451,1018.374478
25.0,767,1024.01548
19.0,413,1027.015681
32.0,742,1032.46917
11.0,587,1036.745931
19.0,765,1042.386941
20.0,546,1046.371566
19.0,650,1051.153136
10.0,447,1054.403362
22.0,686,1059.450567
22.0,738,1064.857176
19.0,640,1069.560627
15.0,535,1073.467129
14.0,389,1076.295443
13.0,611,1080.764491
18.0,666,1085.671078
27.0,793,1091.515211
31.0,863,1097.869906
19.0,762,1103.495271
28.0,594,1107.839321
17.0,666,1112.74589
14.0,574,1116.949297
41.0,1107,1125.137354
25.0,589,1129.450132
18.0,779,1135.200517
16.0,573,1139.388306
13.0,630,1144.013617
17.0,608,1148.498292
14.0,564,1152.623568
27.0,706,1157.806353
36.0,962,1164.983746
27.0,859,1171.312285
42.0,1180,1180.531662
17.0,706,1185.703882
19.0,614,1190.204183
44.0,1013,1197.673423
31.0,931,1204.533268
26.0,986,1211.79937
15.0,648,1216.549685
18.0,743,1222.025701
21.0,656,1226.838523
19.0,599,1231.229442
17.0,496,1234.854695
17.0,596,1239.229986
17.0,736,1244.683477
23.0,683,1250.230722
27.0,993,1257.590582
23.0,746,1263.106575
8.0,427,1266.221816
18.0,664,1271.128382
17.0,703,1276.300604
25.0,797,1282.180137
26.0,817,1288.180537
15.0,677,1293.165255
28.0,890,1299.728185
32.0,898,1306.353639
36.0,1068,1314.260417
33.0,811,1320.229556
40.0,1075,1328.714499
40.0,989,1336.043113
12.0,517,1339.840253
32.0,935,1346.741201
22.0,643,1351.475902
28.0,772,1357.179398
28.0,640,1361.882838
17.0,483,1365.414324
14.0,608,1369.883373
22.0,750,1375.415004
20.0,606,1379.868417
21.0,784,1385.634427
45.0,1051,1393.431834
11.0,535,1397.353971
26.0,774,1403.645418
23.0,674,1408.614502
23.0,806,1414.583651
32.0,946,1421.599754
21.0,727,1426.975104
33.0,798,1432.850507
43.0,1191,1441.663588
33.0,995,1449.03909
15.0,679,1454.070676
31.0,690,1459.19601
45.0,1154,1467.856006
27.0,851,1474.153302
19.0,656,1479.669287
52.0,1274,1489.138669
17.0,693,1494.279639
44.0,1067,1502.202055
29.0,816,1508.202446
14.0,604,1512.655879
45.0,896,1519.265694
24.0,707,1524.475404
37.0,954,1531.507115
30.0,706,1536.695063
47.0,1278,1546.19561
44.0,974,1553.992995
23.0,758,1559.696513
65.0,881,1566.290704
23.0,666,1571.244149
34.0,1005,1578.744652
37.0,977,1586.050585
31.0,1007,1593.504217
40.0,1177,1602.270416
31.0,821,1608.348949
25.0,781,1614.130585
21.0,626,1618.753227
54.0,1408,1629.800843
36.0,562,1633.941743
31.0,1053,1641.754776
38.0,849,1648.079504
21.0,840,1654.298682
28.0,784,1660.080318
23.0,720,1665.393174
27.0,885,1671.893598
20.0,897,1678.487787
22.0,656,1683.300621
43.0,1191,1692.082458
24.0,745,1697.56719
18.0,573,1701.754979
35.0,999,1709.139185
31.0,778,1714.858309
17.0,644,1719.67114
40.0,1038,1727.327902
8.0,385,1730.124965
2.0,202,1731.546934
0.0,129,1732.43762
43.0,1220,1741.40697
39.0,1077,1749.360616
21.0,732,1754.704724
16.0,462,1758.064333
29.0,917,1764.826352
55.0,1168,1773.561216
28.0,653,1778.32716
35.0,1014,1785.812049
49.0,1166,1794.406351
24.0,955,1801.438081
31.0,881,1807.891629
34.0,956,1814.954601
29.0,608,1819.392398
27.0,694,1824.486488
35.0,1015,1831.99403
17.0,697,1837.088118
36.0,809,1843.05727
39.0,797,1848.963914
38.0,1045,1856.714433
35.0,980,1863.964917
38.0,1187,1872.824886
16.0,583,1877.137672
47.0,1135,1885.513235
40.0,1068,1893.412101
28.0,864,1899.771911
45.0,1092,1907.803689
48.0,1153,1916.304256
43.0,883,1922.77344
63.0,1210,1932.352206
27.0,777,1938.118216
41.0,1151,1946.665663
33.0,951,1953.724669
34.0,1084,1961.740821
52.0,970,1968.928985
28.0,870,1975.351115
39.0,1043,1983.085997
59.0,1226,1992.211607
36.0,1026,1999.868371
30.0,913,2007.275115
41.0,1105,2015.519032
35.0,1084,2023.550809
42.0,1065,2031.473214
29.0,963,2038.614327
62.0,1382,2048.911881
44.0,1217,2057.959361
50.0,1000,2065.366106
41.0,1170,2074.146057
54.0,887,2081.28716
24.0,495,2084.928028
30.0,844,2091.209688
51.0,1195,2100.069666
42.0,969,2107.273273
53.0,1328,2117.148933
32.0,737,2122.586797
32.0,762,2128.243426
54.0,989,2135.576918
38.0,941,2142.546233
41.0,1004,2150.077888
42.0,1139,2158.56282
30.0,971,2165.782053
29.0,822,2171.891836
42.0,1071,2179.876746
31.0,627,2184.486431
38.0,983,2191.792345
23.0,648,2196.58954
37.0,1055,2204.41819
63.0,1022,2212.012447
30.0,976,2219.23168
44.0,877,2225.74774
29.0,993,2233.123245
57.0,813,2239.154897
32.0,923,2246.014724
67.0,1525,2257.387503
100.0,1427,2268.013224
69.0,1090,2276.123132
69.0,952,2283.170479
25.0,790,2289.01462
11.0,490,2292.624245
42.0,1096,2300.765404
65.0,1302,2310.484805
37.0,718,2315.806274
16.0,631,2320.462835
34.0,951,2327.510174
73.0,1341,2337.526468
37.0,1024,2345.120724
11.0,526,2348.980368
47.0,817,2355.027637
29.0,1094,2363.137555
52.0,1219,2372.204803
44.0,1061,2380.155762
43.0,1133,2388.609462
46.0,804,2394.562976
30.0,944,2401.579069
13.0,547,2405.594963
30.0,864,2412.032895
58.0,1178,2420.908489
50.0,1128,2429.346553
47.0,1045,2437.147928
71.0,1425,2447.77363
48.0,1122,2456.102321
29.0,719,2461.415208
48.0,1147,2469.962624
18.0,767,2475.650503
64.0,1413,2486.151206
64.0,1296,2495.816688
57.0,1224,2504.942297
56.0,1186,2513.771024
76.0,1297,2523.427908
37.0,955,2530.49088
48.0,1181,2539.850882
57.0,1396,2550.242212
69.0,1069,2558.176194
71.0,1464,2569.098801
43.0,1071,2577.068083
77.0,1529,2588.443844
51.0,1085,2596.506883
43.0,921,2603.335474
55.0,1286,2613.523657
44.0,1066,2621.485081
45.0,992,2628.860573
46.0,940,2635.829779
71.0,1152,2644.439731
47.0,1033,2652.143381
67.0,1306,2661.925285
56.0,1189,2670.754
66.0,1137,2679.302521
55.0,1262,2689.287574
51.0,1160,2697.928964
93.0,1354,2708.03883
73.0,1424,2718.727045
52.0,738,2724.19615
46.0,811,2730.196551
37.0,1034,2737.888477
46.0,1070,2745.873385
79.0,1297,2755.545918
291.0,1188,2764.374622
71.0,1482,2775.438048
59.0,789,2781.297639
85.0,1352,2791.37643
10.0,480,2794.876664
65.0,1430,2805.511243
23.0,433,2808.683328
54.0,1269,2818.137076
89.0,1410,2828.622162
41.0,1102,2836.81021
55.0,1028,2844.435709
31.0,833,2850.623623
41.0,1021,2858.198185
25.0,762,2863.854805
90.0,1087,2871.980347
44.0,1093,2880.105901
54.0,1392,2890.450333
97.0,1188,2899.310301
43.0,1044,2907.045194
59.0,1352,2917.092741
29.0,775,2922.851719
77.0,1249,2932.18048
42.0,1095,2940.306013
47.0,1098,2948.478434
89.0,1329,2958.400973
102.0,1426,2969.073571
31.0,914,2975.855266
15.0,520,2979.725194
8.0,392,2982.659734
50.0,1247,2991.957232
46.0,956,2999.098335
273.0,1169,3007.802051
34.0,1116,3016.130734
79.0,1447,3026.928331
58.0,1205,3035.913296
37.0,895,3042.575049
96.0,1397,3053.028884
60.0,1333,3062.951412
47.0,1302,3072.687607
65.0,1100,3080.891279
81.0,1288,3090.53256
58.0,743,3096.017291
64.0,1521,3107.384953
41.0,1018,3114.932323
57.0,1253,3124.22983
57.0,1242,3133.511689
74.0,1378,3143.762385
325.0,1381,3154.075576
300.0,1152,3162.663037
36.0,752,3168.241535
56.0,786,3174.038797
46.0,970,3181.258031
43.0,999,3188.680402
60.0,1285,3198.29043
67.0,1248,3207.57229
60.0,1212,3217.197936
74.0,1375,3227.459181
23.0,825,3233.568974
228.0,1129,3241.975777
279.0,1312,3251.742065
23.0,653,3256.58613
61.0,1090,3264.696056
68.0,878,3271.227735
27.0,843,3277.493788
77.0,1515,3288.868086
86.0,1348,3298.931259
26.0,832,3305.103546
30.0,845,3311.36958
70.0,1469,3322.339075
102.0,1335,3332.292864
72.0,1346,3342.324776
53.0,777,3348.094892
21.0,572,3352.313914
72.0,1299,3361.986445
41.0,1017,3369.627582
53.0,918,3376.503033
21.0,765,3382.206548
83.0,1397,3392.691625
12.0,498,3396.394999
83.0,1553,3408.029277
71.0,1274,3417.514296
221.0,1108,3425.764848
89.0,1393,3436.156171
36.0,810,3442.156561
19.0,673,3447.141394
97.0,1301,3456.876305
40.0,800,3462.798567
97.0,1296,3472.498255
79.0,1111,3480.764443
65.0,1273,3490.218201
72.0,1417,3500.781409
92.0,1512,3512.157158
45.0,1119,3520.517102
60.0,1330,3530.448281
58.0,1242,3539.698899
74.0,1448,3550.496507
35.0,1083,3558.559545
60.0,1084,3566.606959
54.0,1300,3576.279482
45.0,1123,3584.634322
29.0,904,3591.436496
90.0,1470,3602.390354
235.0,1158,3611.031546
98.0,1277,3620.500939
84.0,1477,3631.532917
47.0,1213,3640.658527
54.0,1079,3648.743628
41.0,1063,3656.650529
81.0,1396,3667.057342
61.0,1291,3676.667361
59.0,1218,3685.730467
80.0,1325,3695.574876
87.0,1101,3703.762924
68.0,1442,3714.522147
63.0,1339,3724.460311
63.0,1061,3732.382718
29.0,776,3738.133101
60.0,1082,3746.180523
40.0,960,3753.306138
43.0,905,3760.009564
115.0,1563,3771.661489
49.0,872,3778.146307
87.0,1374,3788.365731
89.0,1507,3799.600858
72.0,1364,3809.773425
72.0,1374,3820.024109
51.0,1239,3829.252971
99.0,1773,3842.503847
64.0,1252,3851.813548
14.0,526,3855.673192
47.0,1069,3863.626839
18.0,737,3869.08034
56.0,1154,3877.659028
40.0,1012,3885.15953
36.0,823,3891.333404
57.0,1399,3901.74035
67.0,1017,3909.303355
58.0,996,3916.678849
70.0,1349,3926.726519
303.0,1517,3938.024016
207.0,1130,3946.446457
65.0,1190,3955.327413
100.0,1537,3966.781305
282.0,1422,3977.375763
35.0,887,3983.969954
88.0,1574,3995.689489
68.0,1421,4006.252695
82.0,1450,4017.044896
79.0,1457,4027.889362
210.0,858,4034.264788
90.0,1386,4045.265523
30.0,852,4051.609698
231.0,1561,4063.282355
63.0,1427,4073.948914
57.0,1229,4083.121412
79.0,1245,4092.450161
87.0,1398,4102.903975
203.0,1422,4113.545311
77.0,1217,4123.249098
29.0,844,4129.515141
39.0,859,4135.916005
57.0,1395,4146.32295
69.0,842,4152.573378
61.0,1281,4162.105257
52.0,1116,4170.418311
85.0,1565,4182.090967
104.0,1685,4194.745934
71.0,1316,4204.543474
178.0,1283,4214.106688
65.0,1114,4222.404043
130.0,1572,4234.107941
275.0,1264,4243.499205
145.0,1555,4255.112571
86.0,1494,4266.238315
283.0,1530,4277.660954
99.0,1523,4289.021098
50.0,1232,4298.209204
132.0,1746,4311.241334
62.0,1270,4320.689668
272.0,1290,4330.28407
49.0,1021,4337.893954
36.0,1021,4345.488201
68.0,1146,4354.676316
258.0,816,4360.723597
166.0,1708,4373.552591
61.0,1203,4382.515863
66.0,1425,4393.204069
53.0,1099,4401.376624
64.0,1007,4408.892616
252.0,847,4415.205551
45.0,861,4421.596592
83.0,1048,4429.393988
55.0,1044,4437.169747
14.0,605,4441.638797
92.0,1416,4452.264507
121.0,1583,4464.109051
341.0,1461,4475.01603
71.0,926,4481.907125
112.0,1416,4492.485957
87.0,1342,4502.568502
368.0,1630,4514.803697
34.0,753,4520.397822
38.0,1008,4527.898323
94.0,1427,4538.664668
122.0,1615,4550.83736
130.0,1595,4562.828445
45.0,1172,4571.563404
100.0,1447,4582.392253
78.0,1172,4591.127213
66.0,1014,4598.674582
